epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
17,89.31000818794483,75.01259763164525,29.559662580490112,inf,False,"[inf, inf, inf]",inf,0.1080644130706787,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
18,89.33992567865465,87.32048374905517,29.535804271698,inf,False,"[inf, inf, inf]",inf,0.0969376564025878,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
19,89.5619449518171,88.71882086167801,29.4720618724823,inf,False,"[inf, inf, inf]",inf,0.0965006351470947,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
20,89.850097625496,89.12194507432602,29.48151707649231,85.46989787203479,False,[8.54698979e+01 1.85473526e+05 2.62536974e-01],"[61.30868134 85.4697676  85.46989787 85.46989787 85.46989787 85.46989787
 85.46989787 85.46989787 85.46989787 85.46989787 85.46989787 85.46989787
 85.46989787 85.46989787 85.46989787 85.46989787 85.46989787 85.46989787
 85.46989787 85.46989787 85.46989787]",0.1002302169799804,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
21,89.85639604459281,88.72511967750063,29.460143089294437,inf,False,"[inf, inf, inf]",inf,0.0966107845306396,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
22,90.06739308433583,89.59435626102292,29.47462821006775,inf,False,"[inf, inf, inf]",inf,0.0934104919433593,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
23,90.18863765194936,89.60695389266817,29.542368173599243,inf,False,"[inf, inf, inf]",inf,0.0926516056060791,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
24,90.15872016123951,89.7833207357017,29.61329388618469,inf,False,"[inf, inf, inf]",inf,0.0924165248870849,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
0,84.57359702714619,74.91181657848324,124.47116279602052,inf,False,,,0.000101089477539,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
1,90.83422560937204,90.77223481985386,48.64751648902893,inf,False,,,0.0001277923583984,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
2,92.8544435346728,90.31872008062484,48.53333592414856,inf,False,,,0.0001137256622314,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
